STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
0208925200,"BEAR CREEK AT MAYS STORE, NC",Non-ref,SEPlains,152.1614,03,35.274722,-77.794444,NC,NA,yes,22,22,20
02089500,"NEUSE RIVER AT KINSTON, NC",Non-ref,SEPlains,7021.535,03,35.257778,-77.585556,NC,NA,yes,79,60,20
02090380,"CONTENTNEA CREEK NEAR LUCAMA, NC",Non-ref,SEPlains,408.7007,03,35.691111,-78.109722,NC,NA,yes,44,44,19
02091000,"NAHUNTA SWAMP NEAR SHINE, NC",Ref,SEPlains,203.3797,03,35.488889,-77.806111,NC,NA,yes,54,54,19
02091500,"CONTENTNEA CREEK AT HOOKERTON, NC",Non-ref,SEPlains,1908.617,03,35.428889,-77.5825,NC,NA,yes,79,59,19
02091700,"LITTLE CONTENTNEA CREEK NEAR FARMVILLE, NC",Non-ref,SEPlains,247.8078,03,35.544606,-77.51108,NC,NA,NA,31,31,0
02091814,"NEUSE RIVER NEAR FORT BARNWELL, NC",Non-ref,SEPlains,10219.89,03,35.313889,-77.302778,NC,NA,yes,13,13,13
02092000,"SWIFT CREEK NEAR VANCEBORO, NC",Non-ref,SECstPlain,478.4382,03,35.345162,-77.195511,NC,NA,NA,39,39,0
02092500,"TRENT RIVER NEAR TRENTON, NC",Ref,SECstPlain,447.5751,03,35.064167,-77.461389,NC,yes,yes,58,58,20
02093000,"NEW RIVER NEAR GUM BRANCH, NC",Non-ref,SECstPlain,202.0608,03,34.849167,-77.519444,NC,NA,yes,46,46,20
02093500,"HAW RIVER NEAR BENAJA, NC",Non-ref,SEPlains,435.9348,03,36.250135,-79.566415,NC,NA,NA,43,22,0
02093800,"REEDY FORK NEAR OAK RIDGE, NC",Non-ref,SEPlains,53.3151,03,36.1725,-79.952778,NC,NA,yes,54,54,20
02093877,"BRUSH CREEK AT MUIRFIELD RD AT GREENSBORO, NC",Non-ref,SEPlains,13.7097,03,36.128056,-79.923889,NC,NA,yes,5,5,5
0209399200,"HORSEPEN CREEK AT US 220 NR GREENSBORO, NC",Non-ref,SEPlains,41.0679,03,36.137778,-79.86,NC,NA,yes,10,10,10
02094500,"REEDY FORK NEAR GIBSONVILLE, NC",Non-ref,SEPlains,340.7031,03,36.173056,-79.614167,NC,NA,yes,81,60,20
02094659,"SOUTH BUFFALO CREEK NR POMONA, NC",Non-ref,SEPlains,19.2267,03,36.049444,-79.855278,NC,NA,yes,10,10,10
02094770,"SOUTH BUFFALO CREEK AT US 220 AT GREENSBORO, NC",Non-ref,SEPlains,40.4181,03,36.038056,-79.799722,NC,NA,yes,11,11,11
02094775,"RYAN CREEK BELOW US 220 AT GREENSBORO, NC",Non-ref,SEPlains,9.8253,03,36.031111,-79.796111,NC,NA,yes,11,11,11
02095000,"SOUTH BUFFALO CR NEAR GREENSBORO, NC",Non-ref,SEPlains,88.71751,03,36.06,-79.725833,NC,NA,yes,41,20,11
02095181,"N BUFFALO CR AT WESTOVER TERRACE AT GREENSBORO, NC",Non-ref,SEPlains,24.8454,03,36.079167,-79.812778,NC,NA,yes,10,10,10
02095271,"NORTH BUFFALO CREEK AT CHURCH ST AT GREENSBORO, NC",Non-ref,SEPlains,37.7325,03,36.097778,-79.7825,NC,NA,yes,11,11,11
02095500,"NORTH BUFFALO CREEK NEAR GREENSBORO, NC",Non-ref,SEPlains,96.0678,03,36.120556,-79.708056,NC,NA,yes,73,52,12
0209553650,"BUFFALO CREEK AT SR2819 NR MCLEANSVILLE, NC",Non-ref,SEPlains,229.7493,03,36.12806,-79.66167,NC,NA,yes,11,11,11
02096500,"HAW RIVER AT HAW RIVER, NC",Non-ref,SEPlains,1561.779,03,36.087222,-79.366111,NC,NA,yes,81,60,20
02096700,"BIG ALAMANCE CREEK NEAR ELON COLLEGE, NC",Non-ref,SEPlains,300.6216,03,36.039302,-79.524467,NC,NA,NA,23,23,0
02096846,"CANE CREEK NEAR ORANGE GROVE, NC",Ref,SEPlains,19.5696,03,35.987222,-79.206111,NC,yes,yes,20,20,20
02096960,"HAW RIVER NEAR BYNUM, NC",Non-ref,SEPlains,3297.755,03,35.765278,-79.135833,NC,NA,yes,36,36,20
02097000,"HAW RIVER NEAR PITTSBORO, NC",Non-ref,SEPlains,3373.23,03,35.702093,-79.086402,NC,NA,NA,45,24,0
0209722970,"SANDY CREEK AT CORNWALLIS RD NEAR DURHAM, NC",Non-ref,SEPlains,12.2481,03,35.98322,-78.95681,NC,NA,yes,1,1,1
02097280,"THIRD FORK CR AT WOODCROFT PARKWAY NR BLANDS, NC",Non-ref,SEPlains,38.4084,03,35.92264,-78.95242,NC,NA,yes,1,1,1
02097314,"NEW HOPE CREEK NEAR BLANDS, NC",Non-ref,SEPlains,197.3358,03,35.885,-78.965278,NC,NA,yes,27,27,20
0209741955,"NORTHEAST CREEK AT SR1100 NR GENLEE, NC",Non-ref,SEPlains,54.6354,03,35.872222,-78.913056,NC,NA,yes,25,25,18
02097464,"MORGAN CREEK NEAR WHITE CROSS, NC",Non-ref,SEPlains,21.45574,03,35.923611,-79.115,NC,NA,yes,20,20,20
02097517,"MORGAN CREEK NEAR CHAPEL HILL, NC",Non-ref,SEPlains,106.8534,03,35.893333,-79.019722,NC,NA,yes,26,26,20
0209782609,"WHITE OAK CR AT MOUTH NEAR GREEN LEVEL, NC",Non-ref,SEPlains,31.0905,03,35.760278,-78.920278,NC,NA,yes,10,10,10
02098000,"NEW HOPE RIVER NEAR PITTSBORO, NC",Non-ref,SEPlains,739.0998,03,35.736816,-79.0264,NC,NA,NA,24,24,0
02098198,"HAW R BELOW B. EVERETT JORDAN DAM NR MONCURE, NC",Non-ref,SEPlains,4370.692,03,35.649444,-79.065556,NC,NA,yes,0,0,0
02099000,"EAST FORK DEEP RIVER NEAR HIGH POINT, NC",Non-ref,SEPlains,37.6119,03,36.037222,-79.945556,NC,NA,yes,77,56,16
02099500,"DEEP RIVER NEAR RANDLEMAN, NC",Non-ref,SEPlains,327.5253,03,35.903611,-79.852778,NC,NA,NA,76,55,15
02100500,"DEEP RIVER AT RAMSEUR, NC",Non-ref,SEPlains,920.5353,03,35.726389,-79.655556,NC,NA,yes,86,60,20
02101000,"BEAR CREEK AT ROBBINS, NC",Ref,SEPlains,354.8079,03,35.434311,-79.593918,NC,NA,NA,32,22,0
0210166029,"ROCKY R AT SR1300 NR CRUTCHFIELD CROSSROADS, NC",Non-ref,SEPlains,19.5732,03,35.806944,-79.5275,NC,NA,yes,21,21,20
02101726,"ROCKY R AT US 64 NEAR SILER CITY, NC",Non-ref,SEPlains,178.5726,03,35.73514,-79.42308,NC,NA,yes,0,0,0
02101800,"TICK CREEK NEAR MOUNT VERNON SPRINGS, NC",Non-ref,SEPlains,39.6171,03,35.659722,-79.401667,NC,NA,yes,38,38,15
02102000,"DEEP RIVER AT MONCURE, NC",Non-ref,SEPlains,3740,03,35.626944,-79.116111,NC,NA,yes,79,60,20
02102192,"BUCKHORN CREEK NR CORINTH, NC",Non-ref,SEPlains,196.8201,03,35.559722,-78.973611,NC,NA,yes,37,37,20
02102500,"CAPE FEAR RIVER AT LILLINGTON, NC",Non-ref,SEPlains,8995.328,03,35.406111,-78.813333,NC,NA,yes,85,60,20
02102908,"FLAT CREEK NEAR INVERNESS, NC",Ref,SEPlains,19.7253,03,35.182778,-79.1775,NC,yes,yes,41,41,20
02103000,"LITTLE RIVER AT MANCHESTER, NC",Non-ref,SEPlains,895.3758,03,35.193333,-78.985556,NC,NA,yes,19,8,7
02103500,"LITTLE RIVER AT LINDEN, NC",Non-ref,SEPlains,1181.453,03,35.26294,-78.776134,NC,NA,NA,42,22,0
02104220,"ROCKFISH CREEK AT RAEFORD, NC",Non-ref,SEPlains,241.7823,03,34.999722,-79.214722,NC,NA,yes,21,21,20
02105500,"CAPE FEAR R AT WILM O HUSKE LOCK NR TARHEEL, NC",Non-ref,SEPlains,12591.92,03,34.845833,-78.820556,NC,NA,yes,72,60,20
02105769,"CAPE FEAR R AT LOCK #1 NR KELLY, NC",Non-ref,SEPlains,13659.7,03,34.404444,-78.293611,NC,NA,yes,40,40,20
02105900,"HOOD CREEK NEAR LELAND, NC",Ref,SECstPlain,58.8942,03,34.278611,-78.125278,NC,NA,yes,33,33,16
02106000,"LITTLE COHARIE CREEK NEAR ROSEBORO, NC",Non-ref,SEPlains,250.263,03,34.953781,-78.487784,NC,NA,NA,41,41,2
02106500,"BLACK RIVER NEAR TOMAHAWK, NC",Non-ref,SEPlains,1759.371,03,34.755,-78.288611,NC,NA,yes,58,58,20
02107000,"SOUTH RIVER NEAR PARKERSBURG, NC",Non-ref,SEPlains,985.0608,03,34.812671,-78.456949,NC,NA,NA,35,35,0
02107500,"COLLY CREEK NEAR KELLY, NC",Non-ref,SECstPlain,260.2737,03,34.463501,-78.256943,NC,NA,NA,21,21,0
02108000,"NORTHEAST CAPE FEAR RIVER NEAR CHINQUAPIN, NC",Ref,SEPlains,1569.485,03,34.828889,-77.832222,NC,yes,yes,69,60,20
02108500,"ROCKFISH CREEK NEAR WALLACE, NC",Ref,SECstPlain,176.364,03,34.742391,-78.039153,NC,NA,NA,26,26,0
02109500,"WACCAMAW RIVER AT FREELAND, NC",Non-ref,SECstPlain,1783.764,03,34.095,-78.548333,NC,NA,yes,70,60,20
02111000,"YADKIN RIVER AT PATTERSON, NC",Non-ref,EastHghlnds,74.0736,03,35.990833,-81.558333,NC,NA,yes,70,60,20
02111180,"ELK CREEK AT ELKVILLE, NC",Ref,EastHghlnds,131.4666,03,36.071389,-81.403056,NC,yes,yes,44,44,20
0211139110,"YADKIN RIVER BL W KERR SCOTT DAM NEAR BUCK, NC",Non-ref,EastHghlnds,946.4319,03,36.136111,-81.223333,NC,NA,yes,1,1,1
02111500,"REDDIES RIVER AT NORTH WILKESBORO, NC",Ref,EastHghlnds,233.6607,03,36.175,-81.168889,NC,yes,yes,70,60,20
02112000,"YADKIN RIVER AT WILKESBORO, NC",Non-ref,EastHghlnds,1300.812,03,36.1525,-81.145556,NC,NA,yes,94,60,20
02112120,"ROARING RIVER NEAR ROARING RIVER, NC",Ref,EastHghlnds,322.2684,03,36.250278,-81.044444,NC,yes,yes,45,45,20
02112250,"YADKIN RIVER AT ELKIN, NC",Non-ref,EastHghlnds,2245.214,03,36.241111,-80.846667,NC,NA,yes,45,45,20
02112360,"MITCHELL RIVER NEAR STATE ROAD, NC",Ref,SEPlains,205.2963,03,36.311389,-80.807222,NC,yes,yes,45,45,20
02113000,"FISHER RIVER NEAR COPELAND, NC",Non-ref,SEPlains,328.4721,03,36.341111,-80.686111,NC,NA,yes,78,60,20
02113850,"ARARAT RIVER AT ARARAT, NC",Non-ref,SEPlains,596.7874,03,36.404444,-80.561667,NC,NA,yes,45,45,20
02114450,"LITTLE YADKIN RIVER AT DALTON, NC",Non-ref,SEPlains,110.8422,03,36.299167,-80.414722,NC,NA,yes,49,49,20
02115360,"YADKIN RIVER AT ENON, NC",Non-ref,SEPlains,4389.884,03,36.131667,-80.443889,NC,NA,yes,45,45,20
02115500,"FORBUSH CREEK NEAR YADKINVILLE, NC",Ref,SEPlains,60.0489,03,36.133471,-80.549782,NC,NA,NA,31,22,0
02115860,"MUDDY CREEK NEAR MUDDY CREEK, NC",Non-ref,SEPlains,472.5927,03,36.000278,-80.340278,NC,NA,yes,20,20,4
02116500,"YADKIN RIVER AT YADKIN COLLEGE, NC",Non-ref,SEPlains,5902.194,03,35.856667,-80.386944,NC,NA,yes,79,58,18
02117500,"ROCKY CREEK AT TURNERSBURG, NC",Non-ref,SEPlains,260.5122,03,35.900136,-80.799792,NC,NA,NA,31,22,0
02118000,"SOUTH YADKIN RIVER NEAR MOCKSVILLE, NC",Non-ref,SEPlains,789.8688,03,35.845,-80.658889,NC,NA,yes,70,59,19
02118500,"HUNTING CREEK NEAR HARMONY, NC",Ref,SEPlains,400.527,03,36.000556,-80.745556,NC,yes,yes,58,58,20
02120500,"THIRD CREEK AT CLEVELAND, NC",Non-ref,SEPlains,228.6864,03,35.75014,-80.683122,NC,NA,NA,31,22,0
02120780,"SECOND CREEK NEAR BARBER, NC",Non-ref,SEPlains,304.9038,03,35.717778,-80.595833,NC,NA,yes,30,30,20
02121500,"ABBOTTS CREEK AT LEXINGTON, NC",Non-ref,SEPlains,454.2399,03,35.806944,-80.234722,NC,NA,yes,21,21,20
02123500,"UWHARRIE RIVER NEAR ELDORADO, NC",Non-ref,SEPlains,922.5513,03,35.449167,-80.017222,NC,NA,NA,33,22,0
02123567,"DUTCHMANS CREEK NR UWHARRIE, NC",Ref,SEPlains,8.9847,03,35.379167,-80.030278,NC,NA,NA,21,21,15
0212393300,"W. BR ROCKY R B MTH OF S PRONG R NR CORNELIUS, NC",Non-ref,SEPlains,54.2169,03,35.467778,-80.790278,NC,NA,yes,5,5,5
02124080,"CLARKE CREEK NEAR HARRISBURG, NC",Non-ref,SEPlains,56.8989,03,35.414167,-80.751944,NC,NA,yes,6,6,6
0212414900,"MALLARD CR BL STONY CR NR HARRISBURG, NC",Non-ref,SEPlains,92.56409,03,35.332778,-80.715833,NC,NA,yes,14,14,14
0212419274,"CODDLE CR AT SR 1612 NEAR DAVIDSON, NC",Non-ref,SEPlains,58.9383,03,35.503889,-80.736389,NC,NA,yes,7,7,7
0212430293,"REEDY CREEK BELOW I-485 NR PINE RIDGE, NC",Non-ref,SEPlains,32.391,03,35.258611,-80.662778,NC,NA,yes,2,2,2
0212430653,"MCKEE CREEK AT SR2804 NR WILGROVE, NC",Non-ref,SEPlains,15.1272,03,35.253889,-80.648056,NC,NA,yes,2,2,2
0212433550,"ROCKY R AB IRISH BUFFALO CR NR ROCKY RIVER, NC",Non-ref,SEPlains,723.1563,03,35.321667,-80.540833,NC,NA,yes,3,3,3
0212466000,"CLEAR CREEK AT SR3181 NR MINT HILL, NC",Non-ref,SEPlains,29.5605,03,35.208333,-80.58,NC,NA,yes,7,7,7
0212467595,"GOOSE CREEK AT SR1525 NR INDIAN TRAIL, NC",Non-ref,SEPlains,28.6911,03,35.125,-80.602778,NC,NA,yes,6,6,6
02124692,"GOOSE CR AT FAIRVIEW, NC",Non-ref,SEPlains,61.4673,03,35.153611,-80.535278,NC,NA,yes,9,9,9
02124742,"ROCKY RIVER NR STANFIELD, NC",Non-ref,SEPlains,1625.995,03,35.169444,-80.473056,NC,NA,yes,3,3,3
02125000,"BIG BEAR CR NR RICHFIELD, NC",Ref,SEPlains,144.5499,03,35.334722,-80.335556,NC,yes,yes,55,55,20
02126000,"ROCKY RIVER NEAR NORWOOD, NC",Non-ref,SEPlains,3207.191,03,35.148889,-80.175833,NC,NA,yes,80,60,20
02127000,"BROWN CREEK NEAR POLKTON, NC",Non-ref,SEPlains,278.7786,03,35.033486,-80.149783,NC,NA,NA,34,22,0
02128000,"LITTLE RIVER NEAR STAR, NC",Ref,SEPlains,273.4758,03,35.387222,-79.831389,NC,yes,yes,55,55,20
