STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
02146470,"LITTLE HOPE CR AT SENECA PLACE AT CHARLOTTE, NC",Non-ref,SEPlains,7.0173,03,35.164444,-80.853056,NC,NA,yes,22,22,16
02146500,"LITTLE SUGAR CREEK NEAR CHARLOTTE, NC (SITE 55)",Non-ref,SEPlains,106.128,03,35.153755,-80.854794,NC,NA,NA,53,28,0
02146507,"LITTLE SUGAR C AT ARCHDALE DR AT CHARLOTTE, NC",Non-ref,SEPlains,111.1383,03,35.148056,-80.857778,NC,NA,yes,32,32,20
02146530,"LITTLE SUGAR CREEK AT PINEVILLE, NC",Non-ref,SEPlains,127.5849,03,35.085278,-80.882222,NC,NA,yes,12,12,12
0214655255,"MCALPINE CREEK AT SR3150 NR IDLEWILD, NC",Non-ref,SEPlains,18.891,03,35.175833,-80.719167,NC,NA,yes,10,10,10
02146562,"CAMPBELL CREEK NR CHARLOTTE, NC",Non-ref,SEPlains,15.2829,03,35.186667,-80.736667,NC,NA,yes,10,10,10
0214657975,"IRVINS CREEK AT SR3168 NR CHARLOTTE, NC",Non-ref,SEPlains,21.7917,03,35.15861,-80.71333,NC,NA,yes,10,10,10
02146600,"MCALPINE CR AT SARDIS ROAD NEAR CHARLOTTE, NC",Non-ref,SEPlains,100.2357,03,35.137778,-80.7675,NC,NA,yes,47,47,20
02146700,"MCMULLEN CR AT SHARON VIEW RD NEAR CHARLOTTE, NC",Non-ref,SEPlains,18.3393,03,35.140833,-80.82,NC,NA,yes,47,47,20
02146750,"MCALPINE CR BELOW MCMULLEN CR NR PINEVILLE, NC",Non-ref,SEPlains,238.3524,03,35.066667,-80.87,NC,NA,yes,35,35,20
0214678175,"STEELE CREEK AT SR1441 NR PINEVILLE, NC",Non-ref,SEPlains,18.2502,03,35.105,-80.953611,NC,NA,yes,11,11,11
0214685800,"SIX MILE CREEK NEAR PINEVILLE, NC",Non-ref,SEPlains,54.3951,03,35.01036,-80.82854,NC,NA,yes,2,2,2
02146900,"TWELVE MILE CREEK NEAR WAXHAW, NC",Non-ref,SEPlains,190.2276,03,34.951944,-80.755833,NC,NA,NA,43,43,14
02147126,"WAXHAW CREEK AT SR1103 NEAR JACKSON, NC",Ref,SEPlains,90.3618,03,34.836944,-80.791667,NC,NA,yes,6,6,6
02149000,"COVE CREEK NEAR LAKE LURE, NC",Ref,EastHghlnds,203.8527,03,35.423454,-82.111498,NC,yes,yes,58,58,20
02150495,"SECOND BROAD RIVER NR LOGAN, NC",Non-ref,EastHghlnds,225.4149,03,35.404444,-81.8725,NC,NA,yes,11,11,11
02151000,"SECOND BROAD RIVER AT CLIFFSIDE, NC",Non-ref,SEPlains,569.8512,03,35.235679,-81.765656,NC,NA,NA,71,47,7
02151500,"BROAD RIVER NEAR BOILING SPRINGS, NC",Non-ref,SEPlains,2260.265,03,35.210958,-81.697598,NC,NA,yes,84,60,20
02152100,"FIRST BROAD RIVER NEAR CASAR, NC",Ref,EastHghlnds,154.9944,03,35.493056,-81.682222,NC,yes,yes,50,50,20
02152285,"FIRST BROAD RIVER AT SR1512 NEAR LAWNDALE, NC",Ref,EastHghlnds,332.4546,03,35.442222,-81.613056,NC,NA,yes,1,1,1
02152474,"FIRST BROAD RIVER AT LAWNDALE, NC",Ref,SEPlains,491.4288,03,35.415278,-81.561667,NC,NA,yes,1,1,1
02152500,"FIRST BROAD RIVER NEAR LAWNDALE, NC",Non-ref,SEPlains,517.7007,03,35.380685,-81.544258,NC,NA,NA,31,22,0
